Week_Number,Week_Start,Week_End,Lookback_Start,Lookback_End,Information_Cutoff,Actual_Lookback_Days,Target_Lookback_Days,Trading_Days,Target_Trading_Days,Num_Selected_Pairs,Num_Filtered_Pairs,Pairs,Weekly_Profit_%,Transaction_Costs,Data_Coverage_%
23,2023-06-05,2023-06-09,2022-06-16,2023-06-02,2023-06-02,252,252,5,5,41,39,"['AAVE-ADA', 'ETC-ADA', 'LINK-ADA', 'MATIC-ADA', 'XMR-ADA', 'AAVE-BCH', 'AAVE-FIL', 'AAVE-LINK', 'AAVE-MATIC', 'VET-AAVE', 'LINK-BCH', 'MATIC-BCH', 'XMR-BCH', 'BTC-ETH', 'LINK-BTC', 'BTC-MATIC', 'XMR-BTC', 'LINK-DASH', 'DASH-MATIC', 'XMR-DASH', 'LINK-DOGE', 'MATIC-DOGE', 'XMR-DOGE', 'ETC-EOS', 'LINK-EOS', 'MATIC-EOS', 'XMR-EOS', 'LINK-ETC', 'ETC-MATIC', 'LINK-ETH', 'LINK-FIL', 'FIL-MATIC', 'VET-FIL', 'XMR-FIL', 'LTC-MATIC', 'LTC-XLM', 'XMR-LTC', 'XMR-TRX', 'XMR-XLM']",0.8362531661987305,0.039,100.0
24,2023-06-12,2023-06-16,2022-06-23,2023-06-09,2023-06-09,252,252,5,5,35,30,"['ADA-DOGE', 'ADA-ETC', 'ADA-LINK', 'BCH-AAVE', 'FIL-AAVE', 'LINK-AAVE', 'VET-AAVE', 'XTZ-AAVE', 'LINK-BCH', 'ETH-BTC', 'LINK-BTC', 'DASH-LINK', 'MATIC-DASH', 'DASH-XMR', 'LINK-DOGE', 'MATIC-DOGE', 'XMR-DOGE', 'ETC-EOS', 'LINK-EOS', 'ETC-LINK', 'LINK-ETH', 'TRX-ETH', 'FIL-LINK', 'VET-FIL', 'FIL-XMR', 'MATIC-LINK', 'LTC-XLM', 'XMR-LTC', 'ZCASH-LTC', 'XMR-XLM']",0.05735158920288086,0.03,100.0
25,2023-06-19,2023-06-23,2022-06-30,2023-06-16,2023-06-16,252,252,5,5,33,30,"['AAVE-ADA', 'ADA-BCH', 'ADA-DOGE', 'ADA-ETC', 'ADA-LINK', 'ADA-XMR', 'AAVE-BCH', 'AAVE-ETC', 'AAVE-FIL', 'AAVE-LINK', 'VET-AAVE', 'XTZ-AAVE', 'XMR-BCH', 'ETH-BTC', 'LINK-DASH', 'MATIC-DASH', 'MATIC-DOGE', 'XMR-DOGE', 'EOS-LINK', 'EOS-XMR', 'XLM-ETC', 'TRX-ETH', 'LINK-FIL', 'MATIC-FIL', 'LINK-XMR', 'XLM-LTC', 'XMR-LTC', 'XMR-TRX', 'VET-XMR', 'XLM-XMR']",-2.7159571647644043,0.03,100.0
26,2023-06-26,2023-06-30,2022-07-07,2023-06-23,2023-06-23,252,252,5,5,18,18,"['ADA-AAVE', 'ADA-DOGE', 'ADA-ETC', 'ADA-LINK', 'FIL-AAVE', 'AAVE-LINK', 'AAVE-VET', 'AAVE-XTZ', 'ETH-BTC', 'DASH-LINK', 'MATIC-DASH', 'MATIC-DOGE', 'EOS-LINK', 'LTC-ETC', 'XLM-ETC', 'FIL-LINK', 'FIL-VET', 'XLM-LTC']",-0.3230571746826172,0.018000000000000002,100.0
27,2023-07-03,2023-07-07,2022-07-14,2023-06-30,2023-06-30,252,252,5,5,17,16,"['ADA-DOGE', 'FIL-ADA', 'ADA-LINK', 'AAVE-ETC', 'FIL-AAVE', 'LINK-AAVE', 'VET-AAVE', 'BTC-ETH', 'LINK-DASH', 'LINK-EOS', 'EOS-VET', 'XTZ-EOS', 'ETC-XLM', 'XTZ-ETC', 'FIL-LINK', 'FIL-VET']",-0.582200288772583,0.016,100.0
28,2023-07-10,2023-07-14,2022-07-21,2023-07-07,2023-07-07,252,252,5,5,17,15,"['ADA-EOS', 'FIL-ADA', 'LINK-ADA', 'FIL-AAVE', 'LINK-AAVE', 'VET-AAVE', 'ETH-BTC', 'FIL-EOS', 'LINK-EOS', 'VET-EOS', 'XTZ-EOS', 'XTZ-ETC', 'LINK-FIL', 'VET-FIL', 'XLM-LTC']",1.0606646537780762,0.015,100.0
29,2023-07-17,2023-07-21,2022-07-28,2023-07-14,2023-07-14,252,252,5,5,12,12,"['FIL-ADA', 'FIL-AAVE', 'BTC-ETH', 'BTC-LINK', 'DASH-LINK', 'DASH-MATIC', 'EOS-LINK', 'VET-EOS', 'FIL-LINK', 'FIL-VET', 'VET-LINK', 'XMR-LTC']",-2.799093723297119,0.012,100.0
30,2023-07-24,2023-07-28,2022-08-04,2023-07-21,2023-07-21,252,252,5,5,11,10,"['AAVE-FIL', 'VET-AAVE', 'ETH-BTC', 'MATIC-DASH', 'EOS-FIL', 'VET-EOS', 'XTZ-EOS', 'LINK-FIL', 'FIL-VET', 'XMR-LTC']",0.23916959762573242,0.01,100.0
31,2023-07-31,2023-08-04,2022-08-11,2023-07-28,2023-07-28,252,252,5,5,15,14,"['AAVE-FIL', 'BCH-ETC', 'BTC-ETC', 'BTC-ETH', 'BTC-ZCASH', 'MATIC-DASH', 'DOGE-ETC', 'FIL-EOS', 'EOS-XTZ', 'ETH-ZCASH', 'FIL-LINK', 'FIL-VET', 'MATIC-VET', 'XRP-ZCASH']",-0.16824007034301758,0.014,100.0
32,2023-08-07,2023-08-11,2022-08-18,2023-08-04,2023-08-04,252,252,5,5,16,14,"['LINK-AAVE', 'VET-AAVE', 'ETC-BCH', 'XRP-BCH', 'ETC-BTC', 'ETH-BTC', 'ZCASH-BTC', 'DASH-LINK', 'ETC-DOGE', 'ETC-EOS', 'XTZ-EOS', 'ZCASH-ETH', 'FIL-LINK', 'FIL-VET']",-0.03210306167602539,0.014,100.0
