"Date","Price","Open","High","Low","Vol.","Change %"
"08/17/2020","3.7755","3.8788","3.9121","3.7000","312.06M","-2.67%"
"08/16/2020","3.8789","3.7186","3.9331","3.5460","392.53M","4.29%"
"08/15/2020","3.7192","3.2603","3.8459","3.2603","433.66M","14.06%"
"08/14/2020","3.2607","3.1360","3.2912","3.0856","250.36M","3.97%"
"08/13/2020","3.1360","3.0255","3.1427","2.9257","233.64M","3.68%"
"08/12/2020","3.0246","3.0057","3.0480","2.8979","239.04M","0.62%"
"08/11/2020","3.0061","3.2369","3.2943","2.8883","306.49M","-7.13%"
"08/10/2020","3.2370","3.0281","3.2895","3.0061","284.27M","6.90%"
"08/09/2020","3.0280","3.0662","3.0832","2.9496","131.94M","-1.25%"
"08/08/2020","3.0663","3.0141","3.0884","2.9790","123.75M","1.73%"
"08/07/2020","3.0141","3.0887","3.2403","2.8454","263.51M","-2.41%"
"08/06/2020","3.0887","3.0548","3.1723","3.0006","216.58M","1.11%"
"08/05/2020","3.0548","3.0365","3.0982","3.0074","190.08M","0.60%"
"08/04/2020","3.0365","3.0453","3.1008","2.9666","207.43M","-0.29%"
"08/03/2020","3.0453","2.9441","3.1220","2.9114","222.09M","3.45%"
"08/02/2020","2.9438","3.3047","3.4871","2.6527","428.16M","-10.92%"
"08/01/2020","3.3047","3.0941","3.3209","3.0717","260.78M","6.80%"
"07/31/2020","3.0942","3.0473","3.1401","3.0110","186.02M","1.54%"
"07/30/2020","3.0472","3.0237","3.0996","2.9600","198.57M","0.75%"
"07/29/2020","3.0244","3.0188","3.0249","3.0188","252.68M","0.97%"
"07/28/2020","2.9955","2.8455","3.0766","2.7815","282.66M","5.27%"
"07/27/2020","2.8456","2.7123","2.9236","2.6618","294.43M","4.92%"
"07/26/2020","2.7123","2.7276","2.7963","2.6885","179.95M","-0.56%"
"07/25/2020","2.7277","2.5952","2.7419","2.5930","163.35M","5.11%"
"07/24/2020","2.5952","2.6528","2.6528","2.5757","131.48M","-2.18%"
