"Date","Price","Open","High","Low","Vol.","Change %"
"07/25/2023","0.7081","0.7280","0.7287","0.7024","45.64M","-2.80%"
"07/24/2023","0.7285","0.7569","0.7617","0.7127","61.42M","-3.75%"
"07/23/2023","0.7569","0.7461","0.7681","0.7396","28.17M","1.53%"
"07/22/2023","0.7455","0.7693","0.7757","0.7407","33.97M","-3.09%"
"07/21/2023","0.7693","0.7680","0.7812","0.7581","44.64M","0.37%"
"07/20/2023","0.7665","0.7436","0.8011","0.7433","95.93M","3.08%"
"07/19/2023","0.7436","0.7385","0.7561","0.7299","65.97M","0.69%"
"07/18/2023","0.7385","0.7775","0.7826","0.7311","85.81M","-5.02%"
"07/17/2023","0.7775","0.7678","0.7875","0.7514","74.98M","1.29%"
"07/16/2023","0.7676","0.7999","0.8025","0.7639","48.01M","-3.99%"
"07/15/2023","0.7995","0.8082","0.8255","0.7950","44.39M","-1.08%"
"07/14/2023","0.8082","0.8499","0.8776","0.7781","130.87M","-4.91%"
"07/13/2023","0.8499","0.7236","0.8799","0.7129","236.78M","17.45%"
"07/12/2023","0.7236","0.7424","0.7574","0.7159","67.87M","-2.55%"
"07/11/2023","0.7425","0.7356","0.7494","0.7330","75.58M","0.87%"
"07/10/2023","0.7361","0.6884","0.7482","0.6717","132.83M","7.05%"
"07/09/2023","0.6876","0.6800","0.6997","0.6783","51.85M","1.10%"
"07/08/2023","0.6801","0.6767","0.6859","0.6713","38.24M","0.50%"
"07/07/2023","0.6767","0.6607","0.6801","0.6564","53.41M","2.38%"
"07/06/2023","0.6610","0.6704","0.6996","0.6494","97.22M","-1.40%"
"07/05/2023","0.6704","0.6956","0.7057","0.6609","62.83M","-3.54%"
"07/04/2023","0.6950","0.7149","0.7187","0.6914","59.94M","-2.81%"
"07/03/2023","0.7151","0.6816","0.7199","0.6784","87.44M","4.93%"
"07/02/2023","0.6815","0.6768","0.6885","0.6619","57.72M","0.73%"
"07/01/2023","0.6766","0.6615","0.6766","0.6493","58.61M","2.27%"
"06/30/2023","0.6615","0.6239","0.6695","0.6173","147.81M","6.09%"
"06/29/2023","0.6236","0.6129","0.6436","0.6111","66.37M","1.64%"
"06/28/2023","0.6135","0.6620","0.6626","0.6004","108.40M","-7.34%"
"06/27/2023","0.6621","0.6453","0.6716","0.6432","67.19M","2.61%"
"06/26/2023","0.6453","0.6664","0.6704","0.6371","75.15M","-3.19%"
"06/25/2023","0.6665","0.6539","0.6797","0.6485","74.31M","1.89%"
"06/24/2023","0.6541","0.6754","0.6887","0.6451","74.22M","-3.12%"
"06/23/2023","0.6752","0.6561","0.6921","0.6561","98.49M","2.91%"
"06/22/2023","0.6561","0.6689","0.7097","0.6542","127.17M","-1.95%"
"06/21/2023","0.6692","0.6311","0.6768","0.6285","132.31M","6.00%"
"06/20/2023","0.6313","0.6151","0.6316","0.5923","78.78M","2.64%"
"06/19/2023","0.6150","0.5970","0.6207","0.5931","68.84M","3.10%"
"06/18/2023","0.5965","0.6131","0.6182","0.5952","71.58M","-2.76%"
"06/17/2023","0.6134","0.5904","0.6330","0.5860","123.80M","3.89%"
"06/16/2023","0.5905","0.5908","0.5992","0.5597","168.30M","-0.05%"
"06/15/2023","0.5908","0.6195","0.6268","0.5604","206.77M","-4.53%"
"06/14/2023","0.6188","0.6448","0.6612","0.6105","93.26M","-4.00%"
"06/13/2023","0.6446","0.6432","0.6748","0.6248","123.23M","0.32%"
"06/12/2023","0.6425","0.6349","0.6532","0.6178","129.54M","1.22%"
"06/11/2023","0.6348","0.6099","0.6587","0.5913","173.03M","4.00%"
"06/10/2023","0.6104","0.7259","0.7259","0.5215","400.10M","-15.92%"
"06/09/2023","0.7260","0.7811","0.7886","0.7215","114.44M","-7.02%"
"06/08/2023","0.7808","0.7652","0.7848","0.7559","61.57M","2.01%"
"06/07/2023","0.7654","0.8222","0.8231","0.7605","99.45M","-6.93%"
"06/06/2023","0.8223","0.8355","0.8357","0.7905","107.65M","-1.56%"
"06/05/2023","0.8353","0.8926","0.8926","0.8282","78.08M","-6.41%"
"06/04/2023","0.8925","0.8996","0.9066","0.8908","30.14M","-0.78%"
"06/03/2023","0.8996","0.8995","0.9066","0.8929","24.66M","0.01%"
"06/02/2023","0.8995","0.8890","0.9086","0.8830","41.74M","1.21%"
"06/01/2023","0.8887","0.8919","0.8987","0.8775","41.16M","-0.42%"
"05/31/2023","0.8925","0.9013","0.9050","0.8804","48.31M","-1.00%"
"05/30/2023","0.9015","0.9083","0.9157","0.8843","71.88M","-0.76%"
"05/29/2023","0.9084","0.9404","0.9479","0.9044","65.57M","-3.41%"
"05/28/2023","0.9405","0.9207","0.9549","0.9180","47.50M","2.15%"
"05/27/2023","0.9206","0.9104","0.9228","0.9070","37.11M","1.12%"
"05/26/2023","0.9104","0.8896","0.9671","0.8881","115.82M","2.35%"
"05/25/2023","0.8895","0.8733","0.8990","0.8581","72.41M","1.84%"
"05/24/2023","0.8734","0.8894","0.8906","0.8564","61.18M","-1.80%"
"05/23/2023","0.8894","0.8718","0.8915","0.8698","49.80M","2.03%"
"05/22/2023","0.8717","0.8564","0.8757","0.8440","47.73M","1.79%"
"05/21/2023","0.8563","0.8769","0.8798","0.8542","30.53M","-2.35%"
"05/20/2023","0.8770","0.8716","0.8791","0.8642","31.47M","0.63%"
"05/19/2023","0.8715","0.8722","0.8797","0.8641","52.85M","-0.11%"
"05/18/2023","0.8724","0.8868","0.8895","0.8439","80.52M","-1.53%"
"05/17/2023","0.8860","0.8455","0.9008","0.8404","87.77M","4.80%"
"05/16/2023","0.8454","0.8594","0.8647","0.8352","61.05M","-1.63%"
"05/15/2023","0.8595","0.8594","0.8776","0.8473","50.60M","0.00%"
"05/14/2023","0.8594","0.8485","0.8665","0.8402","40.26M","1.28%"
"05/13/2023","0.8486","0.8648","0.8657","0.8474","48.32M","-1.86%"
"05/12/2023","0.8647","0.8411","0.8707","0.8204","101.78M","2.77%"
"05/11/2023","0.8413","0.8764","0.8768","0.8311","76.18M","-4.00%"
"05/10/2023","0.8764","0.8763","0.9042","0.8359","98.87M","0.00%"
"05/09/2023","0.8764","0.9006","0.9075","0.8673","79.43M","-2.69%"
"05/08/2023","0.9006","0.9634","0.9669","0.8812","99.75M","-6.52%"
"05/07/2023","0.9635","0.9752","0.9850","0.9616","44.47M","-1.23%"
"05/06/2023","0.9755","0.9978","1.0037","0.9515","65.32M","-2.21%"
"05/05/2023","0.9975","0.9824","1.0078","0.9800","57.69M","1.52%"
"05/04/2023","0.9826","1.0057","1.0077","0.9792","49.01M","-2.30%"
"05/03/2023","1.0058","0.9769","1.0168","0.9643","89.57M","2.98%"
"05/02/2023","0.9767","0.9593","0.9799","0.9533","54.11M","1.80%"
"05/01/2023","0.9594","0.9804","0.9878","0.9473","64.32M","-2.14%"
"04/30/2023","0.9804","1.0031","1.0145","0.9763","55.37M","-2.23%"
"04/29/2023","1.0027","0.9985","1.0228","0.9932","47.52M","0.44%"
"04/28/2023","0.9984","1.0123","1.0156","0.9821","66.84M","-1.39%"
"04/27/2023","1.0125","0.9859","1.0295","0.9803","100.42M","2.68%"
"04/26/2023","0.9861","1.0042","1.0577","0.9503","133.43M","-1.82%"
"04/25/2023","1.0043","0.9889","1.0163","0.9501","87.80M","1.56%"
"04/24/2023","0.9889","1.0038","1.0219","0.9745","80.04M","-1.47%"
"04/23/2023","1.0036","1.0243","1.0317","0.9810","60.85M","-2.12%"
"04/22/2023","1.0253","1.0115","1.0277","1.0063","42.75M","1.27%"
"04/21/2023","1.0125","1.0458","1.0556","1.0022","77.24M","-3.20%"
"04/20/2023","1.0459","1.0845","1.0976","1.0385","96.75M","-3.50%"
"04/19/2023","1.0838","1.1716","1.1776","1.0606","104.28M","-7.47%"
"04/18/2023","1.1713","1.1529","1.1836","1.1434","60.77M","1.63%"
"04/17/2023","1.1525","1.1828","1.1842","1.1492","71.02M","-2.57%"
"04/16/2023","1.1830","1.1703","1.1882","1.1514","50.14M","1.07%"
"04/15/2023","1.1705","1.1598","1.1837","1.1450","68.85M","0.91%"
"04/14/2023","1.1599","1.1336","1.1897","1.1334","120.36M","2.32%"
"04/13/2023","1.1336","1.1032","1.1387","1.0968","58.59M","2.73%"
"04/12/2023","1.1035","1.1120","1.1162","1.0813","63.92M","-0.81%"
"04/11/2023","1.1125","1.1208","1.1309","1.1093","51.31M","-0.76%"
"04/10/2023","1.1210","1.1008","1.1239","1.0890","45.64M","1.86%"
"04/09/2023","1.1005","1.1019","1.1098","1.0846","37.66M","-0.11%"
"04/08/2023","1.1017","1.1067","1.1175","1.1003","25.07M","-0.43%"
"04/07/2023","1.1065","1.1151","1.1197","1.0963","40.41M","-0.77%"
"04/06/2023","1.1151","1.1405","1.1407","1.1075","46.81M","-2.22%"
"04/05/2023","1.1404","1.1389","1.1676","1.1222","71.90M","0.14%"
"04/04/2023","1.1388","1.0968","1.1502","1.0931","79.46M","3.83%"
"04/03/2023","1.0968","1.0953","1.1187","1.0695","83.88M","0.13%"
"04/02/2023","1.0954","1.1115","1.1219","1.0820","45.36M","-1.45%"
"04/01/2023","1.1115","1.1182","1.1280","1.0998","45.10M","-0.60%"
"03/31/2023","1.1182","1.0931","1.1234","1.0774","73.42M","2.30%"
"03/30/2023","1.0931","1.1222","1.1406","1.0800","88.84M","-2.65%"
"03/29/2023","1.1228","1.0860","1.1446","1.0843","92.53M","3.34%"
