Date,Price,Open,High,Low,Vol.,Change %
03/20/2024,35.79,32.73,36.22,31.6,241.35K,9.36%
03/19/2024,32.73,35.45,35.78,31.57,334.44K,-7.68%
03/18/2024,35.46,37.14,37.45,34.57,170.04K,-4.53%
03/17/2024,37.14,36.1,37.71,34.2,217.98K,2.94%
03/16/2024,36.08,38.88,39.46,35.37,223.29K,-7.18%
03/15/2024,38.87,40.62,41.3,35.88,416.02K,-4.33%
03/14/2024,40.62,42.89,42.91,38.83,308.03K,-5.27%
03/13/2024,42.89,42.55,44.06,41.93,293.52K,0.79%
03/12/2024,42.55,43.1,43.91,40.02,353.15K,-1.27%
03/11/2024,43.1,40.31,44.16,37.99,480.27K,6.92%
03/10/2024,40.31,40.36,41.38,39.17,315.14K,-0.12%
03/09/2024,40.36,40.5,41.04,39.7,244.34K,-0.36%
03/08/2024,40.5,39.16,40.86,37.37,371.19K,3.43%
03/07/2024,39.16,38.73,39.81,38.04,337.36K,1.10%
03/06/2024,38.74,35.45,38.94,34.72,427.45K,9.42%
03/05/2024,35.4,39.23,41.19,32.19,627.44K,-9.73%
03/04/2024,39.22,38.05,40.12,37.34,377.58K,3.06%
03/03/2024,38.05,39.82,40.08,35.04,398.03K,-4.44%
03/02/2024,39.82,33.94,40.76,33.87,518.57K,17.37%
03/01/2024,33.93,31.97,34.22,31.97,265.31K,6.12%
02/29/2024,31.97,31.2,33.81,30.97,388.41K,2.48%
02/28/2024,31.2,32.07,32.96,29.08,385.85K,-2.71%
02/27/2024,32.07,31.77,32.49,31.5,252.62K,0.95%
02/26/2024,31.77,30.96,31.9,29.95,196.44K,2.60%
02/25/2024,30.96,30.47,31.0,29.75,153.02K,1.62%
02/24/2024,30.47,29.48,30.77,29.07,192.72K,3.40%
02/23/2024,29.47,29.65,29.81,28.77,137.53K,-0.65%
02/22/2024,29.66,29.42,30.98,28.82,191.46K,0.82%
02/21/2024,29.42,29.85,30.1,28.25,140.40K,-1.47%
02/20/2024,29.85,30.1,30.86,28.78,209.44K,-0.83%
02/19/2024,30.1,29.73,30.36,29.54,140.26K,1.26%
02/18/2024,29.73,30.26,30.58,29.51,142.69K,-1.72%
02/17/2024,30.25,29.01,30.25,28.43,172.68K,4.25%
02/16/2024,29.01,29.05,29.42,28.26,139.34K,-0.11%
02/15/2024,29.05,28.08,29.13,28.02,167.52K,3.43%
02/14/2024,28.08,27.85,28.48,27.49,150.14K,0.83%
02/13/2024,27.85,28.23,28.44,27.34,150.71K,-1.33%
02/12/2024,28.23,27.52,28.38,27.03,129.73K,2.57%
02/11/2024,27.52,27.5,28.35,27.28,107.02K,0.07%
