"Date","Price","Open","High","Low","Vol.","Change %"
"10/11/2024","3.58","3.54","3.62","3.50","6.30M","1.27%"
"10/10/2024","3.54","3.50","3.54","3.44","6.30M","1.03%"
"10/09/2024","3.50","3.63","3.68","3.46","6.22M","-3.64%"
"10/08/2024","3.63","3.71","3.78","3.59","8.69M","-1.91%"
"10/07/2024","3.71","3.70","3.81","3.68","10.24M","0.26%"
"10/06/2024","3.70","3.61","3.71","3.60","5.10M","2.27%"
"10/05/2024","3.61","3.65","3.68","3.56","5.14M","-0.87%"
"10/04/2024","3.65","3.57","3.66","3.55","5.83M","2.06%"
"10/03/2024","3.57","3.54","3.66","3.43","11.07M","0.78%"
"10/02/2024","3.54","3.56","3.69","3.45","11.97M","-0.30%"
"10/01/2024","3.56","3.81","3.94","3.45","14.55M","-6.79%"
"09/30/2024","3.81","4.08","4.10","3.78","9.47M","-6.62%"
"09/29/2024","4.08","4.13","4.16","4.01","4.92M","-1.02%"
"09/28/2024","4.13","4.20","4.22","4.02","6.42M","-1.62%"
"09/27/2024","4.19","4.10","4.29","4.10","8.07M","2.43%"
"09/26/2024","4.10","3.94","4.14","3.88","10.80M","3.99%"
"09/25/2024","3.94","3.85","4.04","3.85","10.52M","2.16%"
"09/24/2024","3.85","3.76","3.88","3.70","7.95M","2.43%"
"09/23/2024","3.76","3.73","3.81","3.66","7.46M","1.01%"
"09/22/2024","3.73","3.86","3.87","3.61","6.16M","-3.61%"
"09/21/2024","3.87","3.78","3.88","3.70","4.13M","2.38%"
"09/20/2024","3.78","3.69","3.84","3.65","7.58M","2.25%"
"09/19/2024","3.69","3.61","3.75","3.61","8.36M","2.41%"
"09/18/2024","3.61","3.46","3.61","3.37","7.89M","4.32%"
"09/17/2024","3.46","3.41","3.53","3.39","4.59M","1.21%"
"09/16/2024","3.41","3.45","3.48","3.37","5.85M","-1.16%"
"09/15/2024","3.45","3.66","3.68","3.42","5.63M","-5.54%"
"09/14/2024","3.66","3.73","3.74","3.64","3.78M","-1.82%"
"09/13/2024","3.73","3.66","3.76","3.62","7.47M","1.87%"
"09/12/2024","3.66","3.60","3.67","3.58","5.39M","1.47%"
"09/11/2024","3.60","3.66","3.66","3.49","7.53M","-1.65%"
"09/10/2024","3.66","3.60","3.69","3.54","5.29M","1.68%"
"09/09/2024","3.60","3.41","3.67","3.37","10.30M","5.81%"
"09/08/2024","3.41","3.35","3.44","3.32","4.10M","1.75%"
"09/07/2024","3.35","3.27","3.37","3.27","3.98M","2.24%"
"09/06/2024","3.27","3.36","3.42","3.15","14.10M","-2.42%"
"09/05/2024","3.36","3.39","3.43","3.31","5.06M","-1.16%"
"09/04/2024","3.39","3.35","3.47","3.18","10.37M","1.22%"
"09/03/2024","3.35","3.49","3.55","3.35","5.63M","-4.03%"
"09/02/2024","3.49","3.36","3.52","3.32","8.35M","3.85%"
"09/01/2024","3.36","3.57","3.58","3.32","8.84M","-5.65%"
"08/31/2024","3.57","3.64","3.67","3.53","2.79M","-2.10%"
"08/30/2024","3.64","3.64","3.71","3.47","6.58M","0.21%"
"08/29/2024","3.64","3.64","3.80","3.60","5.14M","-0.23%"
"08/28/2024","3.64","3.72","3.83","3.56","9.91M","-2.16%"
"08/27/2024","3.72","3.93","4.05","3.66","9.94M","-5.28%"
"08/26/2024","3.93","4.16","4.19","3.89","8.91M","-5.38%"
"08/25/2024","4.16","4.25","4.26","4.06","7.77M","-2.13%"
"08/24/2024","4.25","4.23","4.34","4.17","7.47M","0.49%"
"08/23/2024","4.23","3.95","4.29","3.94","10.14M","7.10%"
"08/22/2024","3.95","3.79","3.95","3.76","7.12M","4.23%"
