"Date","Price","Open","High","Low","Vol.","Change %"
"09/09/2023","143.430","143.895","144.077","142.223","35.42K","-0.32%"
"09/08/2023","143.895","143.311","144.163","140.729","50.98K","0.41%"
"09/07/2023","143.311","142.005","143.405","141.105","78.97K","0.92%"
"09/06/2023","142.008","137.723","142.794","137.543","75.29K","3.11%"
"09/05/2023","137.723","141.088","141.422","137.543","60.96K","-2.39%"
"09/04/2023","141.088","140.617","143.846","140.617","59.80K","0.34%"
"09/03/2023","140.612","140.125","141.469","139.118","41.04K","0.35%"
"09/02/2023","140.125","140.811","141.830","139.127","42.09K","-0.50%"
"09/01/2023","140.827","143.185","144.723","139.035","59.48K","-1.50%"
"08/31/2023","142.975","142.087","144.772","139.527","80.50K","0.63%"
"08/30/2023","142.087","146.686","148.258","140.647","84.39K","-3.14%"
"08/29/2023","146.686","145.206","148.309","143.021","84.79K","0.95%"
"08/28/2023","145.300","145.371","146.731","142.615","77.87K","-0.05%"
"08/27/2023","145.371","142.998","145.857","142.690","59.92K","1.66%"
"08/26/2023","142.998","140.070","145.037","139.876","92.72K","2.08%"
"08/25/2023","140.083","138.498","140.203","137.161","69.70K","1.14%"
"08/24/2023","138.498","142.877","143.071","135.724","102.70K","-3.06%"
"08/23/2023","142.877","145.499","146.370","142.618","69.82K","-1.80%"
"08/22/2023","145.499","149.581","149.843","143.428","58.19K","-2.73%"
"08/21/2023","149.580","147.297","149.721","144.813","64.96K","1.61%"
"08/20/2023","147.210","144.388","149.217","143.501","46.36K","1.95%"
"08/19/2023","144.388","143.536","145.260","143.091","31.30K","0.59%"
"08/18/2023","143.536","141.602","145.167","141.059","68.56K","1.40%"
"08/17/2023","141.559","154.048","154.742","137.085","90.77K","-8.10%"
"08/16/2023","154.045","155.406","156.364","153.004","85.33K","-0.88%"
"08/15/2023","155.406","158.512","158.811","155.019","54.80K","-1.91%"
"08/14/2023","158.434","158.191","160.020","158.033","75.79K","0.15%"
"08/13/2023","158.191","157.918","159.737","157.071","63.88K","0.17%"
"08/12/2023","157.918","156.888","158.136","156.397","62.52K","0.66%"
"08/11/2023","156.888","156.058","157.948","155.935","62.26K","0.53%"
"08/10/2023","156.058","157.227","157.558","154.384","72.93K","-0.74%"
"08/09/2023","157.227","158.867","159.586","156.668","63.28K","-1.03%"
"08/08/2023","158.863","158.404","160.190","157.759","63.99K","0.28%"
"08/07/2023","158.416","159.786","160.991","157.289","68.34K","-0.86%"
"08/06/2023","159.786","159.741","161.164","159.393","61.59K","0.03%"
"08/05/2023","159.741","158.566","161.358","157.870","83.53K","0.74%"
"08/04/2023","158.566","160.350","161.941","157.436","121.19K","-1.11%"
"08/03/2023","160.340","160.074","161.846","159.817","66.66K","0.17%"
"08/02/2023","160.074","160.285","160.967","158.881","68.10K","-0.01%"
"08/01/2023","160.086","161.176","163.519","157.547","167.03K","-0.68%"
