Week_Number,Week_Start,Week_End,Lookback_Start,Lookback_End,Information_Cutoff,Actual_Lookback_Days,Target_Lookback_Days,Trading_Days,Target_Trading_Days,Num_Selected_Pairs,Num_Filtered_Pairs,Pairs,Weekly_Profit_%,Transaction_Costs,Data_Coverage_%
39,2022-09-26,2022-09-30,2021-10-07,2022-09-23,2022-09-23,252,252,5,5,34,8,"['EOS-BCH', 'BCH-XRP', 'BTC-XRP', 'EOS-XRP', 'EOS-XTZ', 'EOS-ZCASH', 'ETC-LINK', 'XMR-XRP']",0.08398294448852539,0.008,100.0
40,2022-10-03,2022-10-07,2021-10-14,2022-09-30,2022-09-30,252,252,5,5,36,1,['LINK-BCH'],1.5528321266174316,0.001,100.0
41,2022-10-10,2022-10-14,2021-10-21,2022-10-07,2022-10-07,252,252,5,5,40,3,"['BCH-XRP', 'BTC-XRP', 'EOS-XRP']",-0.5581557750701904,0.003,100.0
42,2022-10-17,2022-10-21,2021-10-28,2022-10-14,2022-10-14,252,252,5,5,42,0,[],0.0,0.0,100.0
43,2022-10-24,2022-10-28,2021-11-04,2022-10-21,2022-10-21,252,252,5,5,42,0,[],0.0,0.0,100.0
44,2022-10-31,2022-11-04,2021-11-11,2022-10-28,2022-10-28,252,252,5,5,44,1,['MATIC-DOGE'],13.437378406524658,0.001,100.0
45,2022-11-07,2022-11-11,2021-11-18,2022-11-04,2022-11-04,252,252,5,5,43,13,"['AAVE-LTC', 'BCH-LTC', 'DASH-MATIC', 'DOGE-XRP', 'EOS-MATIC', 'ETC-LTC', 'ETC-MATIC', 'LINK-MATIC', 'TRX-LTC', 'XMR-LTC', 'VET-MATIC', 'XLM-MATIC', 'XTZ-MATIC']",-5.001896619796753,0.013000000000000001,100.0
46,2022-11-14,2022-11-18,2021-11-25,2022-11-11,2022-11-11,252,252,5,5,48,11,"['ADA-MATIC', 'AAVE-LTC', 'DASH-MATIC', 'EOS-MATIC', 'ETH-MATIC', 'TRX-LTC', 'XMR-LTC', 'VET-MATIC', 'XLM-MATIC', 'XRP-MATIC', 'XTZ-MATIC']",-0.3694891929626465,0.011,100.0
47,2022-11-21,2022-11-25,2021-12-02,2022-11-18,2022-11-18,252,252,5,5,48,3,"['AAVE-LTC', 'ETC-LTC', 'ZCASH-LTC']",-5.934697389602661,0.003,100.0
48,2022-11-28,2022-12-02,2021-12-09,2022-11-25,2022-11-25,252,252,5,5,51,3,"['MATIC-DASH', 'MATIC-ETC', 'MATIC-XRP']",4.271304607391357,0.003,100.0
49,2022-12-05,2022-12-09,2021-12-16,2022-12-02,2022-12-02,252,252,5,5,58,5,"['ADA-ZCASH', 'EOS-ZCASH', 'ETC-MATIC', 'LTC-ZCASH', 'XRP-MATIC']",0.5432724952697754,0.005,100.0
50,2022-12-12,2022-12-16,2021-12-23,2022-12-09,2022-12-09,252,252,5,5,57,1,['LINK-EOS'],-0.6351709365844727,0.001,100.0
51,2022-12-19,2022-12-23,2021-12-30,2022-12-16,2022-12-16,252,252,5,5,53,1,['FIL-EOS'],0.5276799201965332,0.001,100.0
52,2022-12-26,2022-12-30,2022-01-06,2022-12-23,2022-12-23,252,252,5,5,52,0,[],0.0,0.0,100.0
